41,data_41,0,8,4,4,1,3,3
42,data_42,0,2,2,6,0,0,3
43,data_43,1,7,7,6,0,0,4
44,data_44,4,7,7,6,1,3,4
45,data_45,4,2,2,6,1,3,4
46,data_46,1,7,7,6,7,6,4
47,data_47,1,2,2,6,1,4,4
48,data_48,1,3,6,6,1,4,4
49,data_49,1,0,0,6,1,4,4
50,data_50,1,0,0,6,1,4,4
51,data_51,1,0,7,5,0,4,4
52,data_52,0,4,4,4,4,7,2
53,data_53,1,7,8,4,0,3,1
54,data_54,1,7,0,3,4,6,4
55,data_55,0,4,4,3,1,3,3
56,data_56,0,0,0,3,1,3,3
57,data_57,4,0,0,3,2,4,2
58,data_58,4,4,8,4,2,3,2
59,data_59,1,7,1,6,1,3,1
60,data_60,0,7,8,0,9,10,0
61,data_61,0,7,7,6,9,10,0
62,data_62,0,9,9,6,9,10,0
63,data_63,0,7,7,6,9,10,0
64,data_64,0,8,8,6,9,10,0
65,data_65,0,9,9,6,9,10,0
66,data_66,0,9,9,6,9,10,0
67,data_67,0,9,9,6,9,10,0
68,data_68,0,9,9,6,1,3,3
69,data_69,4,3,3,6,3,9,3
70,data_70,4,7,7,6,3,9,3
71,data_71,0,8,4,1,1,1,3
72,data_72,0,8,8,6,2,4,2
73,data_73,0,9,9,6,1,3,2
74,data_74,0,9,9,6,2,4,2
75,data_75,0,2,8,3,1,1,3
76,data_76,0,4,4,6,1,1,3
77,data_77,0,4,8,6,1,3,3
78,data_78,0,9,9,4,1,4,3
79,data_79,0,4,8,3,1,1,3
80,data_80,4,7,7,6,5,7,2
81,data_81,0,3,3,4,2,4,2
82,data_82,0,0,8,4,2,4,2
83,data_83,0,8,4,4,2,4,2
84,data_84,0,9,9,4,2,4,2
85,data_85,0,3,4,3,1,1,3
86,data_86,0,4,4,6,2,4,2
87,data_87,0,2,2,6,5,7,2
88,data_88,0,9,9,6,2,4,2
89,data_89,0,8,9,2,5,7,2
90,data_90,0,9,9,6,3,12,3
91,data_91,0,9,9,6,1,11,3
92,data_92,0,7,7,6,3,9,3
93,data_93,0,7,7,6,3,12,3
94,data_94,0,4,4,6,3,9,3
95,data_95,4,7,7,6,5,7,2
96,data_96,0,3,3,6,3,9,3
97,data_97,4,8,7,6,1,3,3
98,data_98,0,7,7,6,1,4,3
99,data_99,4,4,4,6,2,4,2
100,data_100,4,4,4,6,5,7,2
101,data_101,4,8,0,4,2,4,2
102,data_102,4,8,0,4,5,7,2
103,data_103,4,3,0,6,5,7,2
104,data_104,4,3,0,6,2,4,2
105,data_105,0,9,9,6,2,4,2
106,data_106,0,2,2,6,1,3,3
107,data_107,0,8,4,4,2,4,2
108,data_108,1,8,4,0,1,13,3
109,data_109,0,8,0,6,2,4,2
110,data_110,0,4,8,0,1,4,3
111,data_111,0,4,4,6,3,9,3
112,data_112,1,9,4,0,1,4,3
113,data_113,4,8,8,5,1,4,3
114,data_114,4,0,0,6,1,3,3
115,data_115,0,2,2,6,4,7,2
116,data_116,0,8,4,6,1,1,3
117,data_117,4,7,7,6,5,7,2
118,data_118,1,8,8,6,1,3,3
119,data_119,1,4,0,6,9,10,4
120,data_120,4,7,7,6,1,14,4
121,data_121,4,7,7,6,2,14,4
122,data_122,4,7,7,6,2,14,4
123,data_123,0,4,4,6,3,9,3
124,data_124,0,4,4,6,4,7,2
125,data_125,0,7,7,6,8,6,2
126,data_126,0,7,7,6,5,7,2
127,data_127,0,0,8,3,0,1,2
128,data_128,4,7,8,2,2,4,2
129,data_129,0,4,8,0,1,4,3
130,data_130,0,8,0,5,0,5,2
131,data_131,0,3,8,5,2,4,2
132,data_132,0,8,8,4,2,4,2
133,data_133,0,0,0,4,2,4,2
134,data_134,0,8,7,0,1,4,2
135,data_135,0,2,2,6,1,3,3
136,data_136,0,4,4,6,5,7,2
137,data_137,4,0,7,5,2,5,2
138,data_138,0,8,8,4,2,4,2
139,data_139,0,8,8,4,2,4,2
140,data_140,0,7,9,0,2,4,2
141,data_141,0,8,8,5,2,4,2
142,data_142,0,8,8,6,1,4,3
143,data_143,0,2,2,6,2,5,2
144,data_144,4,2,4,5,2,4,2
145,data_145,0,7,7,6,4,12,3
146,data_146,0,0,7,5,1,4,3
147,data_147,0,0,8,5,3,9,3
148,data_148,1,0,0,6,1,13,3
149,data_149,0,7,7,6,1,4,2
150,data_150,0,0,0,6,1,3,2
151,data_151,4,7,6,6,1,14,4
152,data_152,4,6,6,6,1,14,4
153,data_153,0,0,0,6,1,11,3
154,data_154,4,7,7,6,3,12,4
155,data_155,4,9,9,6,1,2,3
156,data_156,1,2,2,6,1,10,4
157,data_157,4,0,0,6,1,14,4
158,data_158,4,0,0,6,1,3,4
159,data_159,0,4,4,6,3,9,3
160,data_160,0,4,4,6,3,9,3
161,data_161,0,4,4,6,3,9,3
162,data_162,0,7,7,6,8,6,4
163,data_163,0,7,7,6,8,6,4
164,data_164,4,7,7,6,3,12,4
165,data_165,4,7,7,6,3,12,4
166,data_166,0,7,7,6,3,9,4
167,data_167,4,7,7,6,1,4,4
168,data_168,0,7,7,6,4,7,4
169,data_169,0,7,7,6,3,9,3
170,data_170,1,7,7,6,1,10,4
171,data_171,1,7,7,6,3,9,4
172,data_172,0,7,7,6,1,13,3
173,data_173,1,3,3,6,1,13,4
174,data_174,0,9,9,6,3,12,3
175,data_175,0,6,6,6,1,11,3
176,data_176,1,0,0,6,3,13,3
177,data_177,0,0,0,4,1,4,3
178,data_178,4,7,7,6,1,2,3
179,data_179,4,7,7,6,1,8,3
